accountID,maritalStatus,sex,income,age,Dependents,Occupation
A1055520767041040,Single,Male,1167493,28,4,Employee
A308032038695848,Single,Male,1125087,30,1,Business
A844427646870152,Single,Male,2231892,34,4,Business
A914801008996066,Married,Male,806949,40,4,Business
A914800421140041,Married,Male,1312532,41,1,Business
A1899946529994950,Single,Male,896857,32,2,Employee
A844428126687330,Married,Male,1184194,43,1,Employee
A985156882685620,Married,Male,1198175,36,2,Business
A1055521400590810,Single,Female,2559110,31,3,Business
A985156778944975,Single,Male,1454735,30,3,Business
A914800125650481,Single,Male,714628,33,3,Business
A365522409819928,Married,Male,1112892,51,1,Employee
A1055521419261230,Married,Male,776188,49,3,Employee
A1688853204575090,Married,Male,1560907,35,3,Employee
A985156737384791,Single,Male,693234,31,1,Business
A1688853676955720,Single,Male,1325833,31,2,Employee
A844427514403364,Married,Male,1242368,45,1,Business
A914801126470357,Single,Female,1821967,30,4,Business
A914801053415335,Married,Male,1122476,38,4,Business
A1688852648836290,Married,Male,1791738,40,4,Employee
A985156431632052,Single,Male,1133274,33,1,Employee
A1759222104058550,Single,Male,1354073,29,4,Employee
A388405010798700,Single,Male,1890690,33,1,Employee
A1829582603375020,Married,Male,850383,38,3,Employee
A985157012397861,Married,Male,1249953,40,4,Business
A914800633826523,Single,Female,1722654,30,3,Employee
A1055521384775860,Married,Male,1029857,40,4,Business
A303496557700928,Married,Female,1432391,37,1,Business
A985156939952550,Single,Male,1749748,30,1,Business
A985156141419821,Married,Male,1262866,34,2,Business
A914801119229071,Married,Male,1501912,46,3,Employee
A914800123960928,Single,Male,1348620,35,2,Business
A914801080667193,Single,Female,524609,27,4,Employee
A1055521173142680,Single,Female,1248338,34,4,Employee
A389783424597926,Married,Male,1307552,36,2,Employee
A1899945832147100,Married,Male,1261068,45,2,Business
A914801032255945,Married,Male,752039,50,1,Business
A914801050306477,Married,Male,796499,43,3,Employee
A844427754599626,Single,Male,1335238,33,2,Employee
A1759220758926670,Married,Male,1454507,40,3,Business
A985156242892770,Single,Female,1494616,39,4,Employee
A1829582563503030,Single,Male,1222041,35,1,Business
A985157020517378,Single,Male,1344842,32,2,Business
A914800679853223,Married,Male,537472,41,2,Employee
A914800997017148,Single,Male,2211657,29,3,Business
A844427928369587,Single,Male,919296,30,3,Employee
A1055521091577550,Married,Male,1465698,42,4,Employee
A1055521382259330,Single,Male,1013954,30,2,Employee
A985157090984923,Single,Male,1518024,33,4,Employee
A844427272260408,Single,Male,1096167,34,3,Employee
A1688852160734300,Married,Male,1193010,48,3,Business
A985157010071817,Married,Male,527839,40,1,Business
A1055521295259180,Single,Male,1131242,31,2,Employee
A1055521126415860,Single,Male,1239199,30,2,Business
A1759221331564090,Single,Male,2509520,32,3,Business
A1899947030285440,Married,Male,1902090,37,3,Employee
A844427984183634,Single,Female,728726,47,2,Business
A308856672603016,Single,Male,2158210,33,4,Business
A985156983593190,Married,Male,2261304,50,1,Business
A1055521383453070,Single,Female,1620681,31,3,Employee
A985156986346818,Single,Male,837045,38,4,Employee
A914801114723304,Single,Male,1648915,28,2,Business
A844427577995699,Single,Male,1422856,33,3,Business
A914801073589300,Married,Male,2896721,45,4,Business
A914801126575122,Married,Male,3035725,44,3,Business
A914801075460599,Married,Female,1028774,36,2,Business
A844428105399167,Married,Male,2048618,46,3,Business
A1899946187214690,Single,Male,1349165,31,1,Employee
A985156140532729,Married,Female,1176086,43,3,Employee
A985156627539464,Single,Female,1060922,27,2,Employee
A1899946120225740,Married,Male,947625,35,4,Employee
A1055521414115840,Married,Male,486875,43,4,Employee
A914800529474224,Married,Male,2770162,36,1,Business
A844427995164544,Single,Male,1343167,33,4,Employee
A985156406787328,Single,Male,6628720,30,1,Business
A985156157841074,Single,Male,1351592,36,3,Employee
A1759221002606810,Single,Male,4776125,32,4,Business
A1055520964806710,Single,Male,719910,37,3,Business
A985157123362819,Married,Male,1010401,43,3,Employee
A1055520623028180,Married,Male,2015159,56,3,Business
A985157027738252,Married,Male,1875680,35,2,Business
A985156416454880,Married,Male,1832075,52,1,Employee
A985156999822047,Single,Male,974662,33,4,Business
A985156985303580,Married,Male,1121674,35,4,Employee
A1899945966221550,Single,Male,1340279,29,1,Employee
A914800959892934,Single,Male,1351679,33,3,Business
A1688852463398550,Single,Male,2120514,33,1,Business
A985156880838418,Married,Male,1355802,45,2,Business
A1055521271943020,Single,Male,1212238,31,3,Business
A564049488265127,Single,Male,1377443,32,3,Employee
A914801088635880,Married,Female,1268715,40,2,Employee
A914801049613250,Married,Male,1153698,40,4,Employee
A1055521383487810,Single,Male,1497397,32,1,Business
A844428131889975,Married,Male,1411966,47,1,Business
A1829582638069840,Married,Male,1231098,55,4,Employee
A1055521408486830,Single,Male,1302311,36,1,Business
A985156691449683,Single,Male,315666,32,4,Business
A914800568806256,Single,Female,536370,31,4,Business
A844428114510737,Single,Male,895147,32,1,Business
A844427410548208,Single,Female,1305927,35,1,Business
A1055521392343280,Single,Female,1048667,33,1,Employee
A1055521384842590,Single,Female,668990,29,1,Business
A914800875651784,Married,Male,938315,53,3,Employee
A1055521352346460,Married,Male,1673007,33,3,Business
A1055521450421800,Married,Female,4071396,43,3,Business
A1055521440358640,Married,Male,671080,61,3,Employee
A985156553686562,Married,Male,1402960,62,3,Business
A914801074347379,Married,Male,1682982,31,3,Employee
A1899946161485410,Married,Male,1063810,35,1,Employee
A985157003953273,Single,Female,928701,29,2,Business
A1055521119023340,Married,Male,2643242,39,3,Business
A1055521203285260,Married,Male,474069,54,3,Employee
A1055521401926140,Married,Male,2491945,35,2,Business
A1688852602095670,Single,Male,1565182,30,1,Employee
A1688853296074990,Single,Male,2435667,34,2,Business
A985156982312483,Married,Male,1815469,30,4,Employee
A985156975137480,Married,Male,2316575,41,4,Business
A844428148455543,Married,Male,837311,45,4,Business
A1688852393594080,Married,Male,1816001,36,2,Business
A985156958947325,Married,Female,1806083,49,1,Employee
A985156129835537,Married,Male,775409,39,2,Business
A844427901322480,Single,Male,1321786,32,1,Employee
A914801084169889,Single,Female,1133958,35,2,Employee
A914800422070517,Married,Male,1527296,40,3,Employee
A844428157179466,Married,Male,1416865,45,1,Business
A914800516798254,Married,Male,1363379,35,4,Employee
A388336079076344,Married,Male,804460,36,1,Employee
A1055520483397650,Married,Male,1246667,46,3,Business
A1055520707954340,Married,Male,1359792,42,3,Business
A1829581926724190,Married,Male,2320375,63,2,Business
A1688852494648300,Single,Male,622991,32,4,Business
A985156347669648,Married,Male,1126899,37,1,Employee
A914801056684183,Married,Male,1229072,32,1,Business
A1899945444375680,Single,Male,485697,37,3,Employee
A1055521386479320,Single,Male,1262151,35,4,Business
A294425786376082,Single,Male,1202196,32,4,Employee
A844428063385192,Married,Male,1129744,39,2,Business
A1688852421063980,Married,Male,1209116,44,1,Employee
A1055520561516490,Married,Female,3090160,42,1,Business
A1055520795970240,Married,Male,1376523,43,3,Employee
A365385233890185,Married,Female,1049427,61,1,Business
A985156966696858,Single,Male,1380426,29,3,Business
A1688853091066330,Single,Male,804916,29,1,Employee
A985157075306955,Married,Female,497306,41,1,Business
A844427924837619,Single,Male,1296807,29,1,Business
A914800571495932,Single,Male,942590,29,2,Business
A914800995475388,Married,Male,883329,71,2,Business
A1759221651635700,Married,Male,567606,39,2,Business
A1899945838440910,Married,Male,1225936,62,3,Employee
A985156662833326,Single,Male,1886890,32,4,Business
A1055521349713660,Single,Male,1386734,30,3,Employee
A1899946440689830,Single,Female,625879,29,4,Business
A985156922714399,Married,Male,881087,35,1,Business
A1899946974034830,Single,Female,892164,29,3,Employee
A914800917097448,Married,Male,1027444,42,4,Business
A310507826022408,Married,Male,787626,30,3,Employee
A1688852059029810,Married,Male,2317392,58,4,Business
A1688853072152610,Married,Male,562419,45,1,Employee
A985156611996733,Married,Male,1153851,41,1,Business
A985155991589275,Married,Male,669123,54,1,Employee
A1055520569394620,Married,Male,960184,46,2,Business
A844427438518682,Single,Male,1124040,29,3,Business
A1055521384506980,Single,Male,2692471,32,4,Business
A844427298309879,Married,Male,3609145,35,1,Business
A985157071589695,Married,Female,1288523,46,2,Business
A844427383585522,Single,Male,688522,32,4,Business
A985157005635161,Married,Male,1318429,34,1,Employee
A914800288979956,Married,Female,1651252,42,1,Employee
A985156981670857,Married,Male,2638454,64,4,Business
A914800985825543,Married,Male,1224968,36,2,Business
A914801145616540,Married,Male,833188,40,2,Business
A985156963732592,Married,Male,1138518,55,1,Employee
A1055521127660410,Married,Female,1048363,33,1,Business
A914801018026069,Single,Male,1934960,31,1,Business
A985156086498648,Single,Male,982870,30,2,Business
A1759221086516080,Single,Male,1155751,35,1,Employee
A844428172009516,Married,Male,1125978,40,2,Business
A310574658978128,Married,Female,1136238,57,4,Employee
A1055520853188920,Married,Male,1426738,34,2,Business
A1899946674482210,Single,Male,756352,34,4,Business
A312155206803046,Single,Female,866799,30,1,Employee
A303496553502681,Single,Male,742976,29,2,Employee
A914801038505198,Single,Male,957790,30,4,Employee
A844427606693818,Married,Male,1300246,38,3,Employee
A844428160263562,Single,Male,2305669,31,4,Business
A1055520558955650,Married,Male,830319,36,4,Business
A1055521092119420,Married,Male,1111367,62,2,Employee
A1829580990484510,Single,Male,1403207,31,4,Employee
A985156944108818,Married,Female,1265626,33,3,Employee
A985157098190571,Single,Male,1488536,39,4,Employee
A1055521489740770,Married,Male,1178323,45,1,Business
A844427491372312,Married,Male,1020034,40,4,Business
A914801052558319,Married,Male,1480339,43,4,Employee
A914801128763309,Married,Male,1269624,44,1,Business
A310505940092825,Married,Male,2683693,53,1,Business
A306039172912663,Married,Male,1288162,44,2,Business
A985156674607518,Married,Male,1395911,47,2,Employee
A1829582209499620,Married,Male,1031111,38,4,Employee
A914801010701239,Married,Male,1202510,47,2,Business
A914800379186554,Single,Male,1075058,31,4,Business
A844427986024731,Single,Male,985245,32,4,Business
A985157078301707,Single,Male,841491,33,2,Business
A914801126254886,Married,Male,1330513,39,4,Employee
A844428111394057,Married,Male,1344224,41,3,Employee
A1055520515784910,Single,Male,751108,34,2,Business
A1055521373300300,Married,Male,2053216,37,3,Business
A564049465885324,Married,Male,825246,39,4,Business
A1899945732135720,Married,Female,761824,34,3,Business
A1688853050318750,Married,Male,612199,35,3,Business
A985156534859390,Married,Male,1515896,67,4,Employee
A1055520569918930,Single,Male,1654577,30,1,Employee
A914800441705981,Married,Male,853974,37,2,Business
A985156270465197,Single,Male,1898860,33,1,Business
A313804474557319,Single,Male,280136,33,2,Business
A844427543919170,Single,Male,1154592,30,2,Business
A1759221307733700,Married,Male,1054519,43,1,Business
A1055521245880370,Married,Male,1259206,39,4,Employee
A985156947828810,Married,Female,1380160,49,4,Business
A914800788113007,Single,Male,745997,31,2,Business
A844427987447212,Married,Male,1483520,42,2,Employee
A564049504191172,Married,Male,678661,40,2,Business
A985156367465163,Single,Male,1334902,28,4,Employee
