accountID,likes,merchants,interests
A1055520767041040,"['Michael Jackson', 'Nirvana', 'Disney']","['DISNEY-PLUS', 'MUSIC CONCERT', 'BOOK-MY-SHOW']","['DISNEY-MOVIES', 'MUSIC']"
A308032038695848,"['Wallmart', 'Play Station', '5-Minute Crafts']","['WALMART', 'TATA-SKY', 'GAMING']","['SHOPPING', 'GAMING']"
A844427646870152,"['John Cena', 'Spotify', 'McDonalds', 'Manchester City']","['FOOTBALL-TICKET', 'TATA-SKY', 'SPOTIFY']","['SPORTS', 'FOOTBALL', 'MUSIC']"
A914801008996066,"['Arsenal', 'Indian Cricket Team', 'KFC', 'UFC']","['TATA-SKY', 'FOOTBALL TICKET', 'BOOK-MY-SHOW-SPORTS', 'BOOKS']","['FOOTBALL', 'UFC', 'CRICKET']"
A914800421140041,"['Indian Cricket Team', 'Disney', 'Netflix']","['DISNEY-PLUS', 'NETFLIX', 'BOOK-MY-SHOW-SPORTS']","['NETFLIX', 'DISNEY-MOVIES', 'CRICKET']"
A1899946529994950,"['Mathematics', 'Red Bull', 'CodeChef']","['GROCERIES', 'CODECHEF', 'BOOKS']","['CODING', 'MATHEMATICS', 'FOODIE']"
A844428126687330,"['Vin Diesel', 'Real Madrid C.F.', 'Bruce Lee']","['FOOTBALL TICKET', 'BOOK-MY-SHOW']","['FOOTBALL', 'MOVIES']"
A985156882685620,"['Huawei Mobile', 'Tom and Jerry', 'Disney']","['TATA-SKY', 'DISNEY-PLUS', 'ELECTRONICS']","['COMEDY-SHOWS', 'DISNEY-MOVIES']"
A1055521400590810,"['CS GO', 'Disney']","['STEAM', 'DISNEY-PLUS']","['DISNEY-MOVIES', 'GAMING']"
A985156778944975,"['Tesla', 'Uber']","['UBER', 'TESLA']","['TRAVELLING', 'AUTOMOBILES']"
A914800125650481,"['MS Dhoni', 'Netflix']","['NETFLIX', 'BOOK-MY-SHOW-SPORTS']","['NETFLIX', 'CRICKET']"
A365522409819928,"['Spotify', 'Health and Diet']","['HEALTH-KART', 'SPOTIFY']","['HEALTH-CONCIOUS', 'MUSIC']"
A1055521419261230,"['Michael Jackson', 'Eminem', 'CGTN']","['TATA-SKY', 'MUSIC CONCERT']",['MUSIC']
A1688853204575090,"['Windows', 'Candy Crush Saga', 'Starbucks', '5-Minute Crafts', 'CS GO']","['MUSIC CONCERT', 'STARBUCKS', 'STEAM', 'KFC', 'ELECTRONICS']","['STARBUCKS', 'TECH-SAVY', 'GAMING']"
A985156737384791,"['Cars', 'Science', 'McDonalds']","['AUTOMOBILE', 'MCDONALDS', 'MUSIC CONCERT']","['AUTOMOBILES', 'FOODIE']"
A1688853676955720,"['Michael Jackson', 'Samsung', 'Food']","['GROCERIES', 'TELECOM', 'MUSIC CONCERT']","['TECH-SAVY', 'MUSIC', 'FOODIE']"
A844427514403364,"['Science', 'Tom and Jerry', 'Metalica']","['TATA-SKY', 'MUSIC CONCERT', 'BOOKS']","['COMEDY-SHOWS', 'SCIENCE', 'MUSIC']"
A914801126470357,"['Windows', '50 Cent', 'XBOX', 'MTV']","['BITCOINS', 'TATA-SKY', 'MUSIC CONCERT']",['MUSIC']
A914801053415335,"['Food', 'Eminem', 'Cars', 'UFC']","['TATA-SKY', 'TESLA', 'MUSIC CONCERT', 'BOOK-MY-SHOW']","['MUSIC', 'UFC']"
A1688852648836290,"['John Cena', 'Wallmart', 'Food', 'Bruce Lee']","['TATA-SKY', 'GROCERIES', 'BOOK-MY-SHOW']","['SPORTS', 'MOVIES', 'FOODIE']"
A985156431632052,"['ASUS', 'Spider man', 'KitKat', '50 Cent']","['MUSIC CONCERT', 'BOOK-MY-SHOW', 'ELECTRONICS']","['TECH-SAVY', 'MUSIC', 'MOVIES']"
A1759222104058550,"['Indian Cricket Team', 'Pizza Hut', 'Food']","['PIZZA-HUT', 'GROCERIES', 'BOOK-MY-SHOW-SPORTS']","['FOODIE', 'CRICKET']"
A388405010798700,"['Mr Bean', 'Pizza Hut', 'McDonalds']","['TATA-SKY', 'MCDONALDS', 'MUSIC CONCERT']","['COMEDY-SHOWS', 'FOODIE']"
A1829582603375020,"['ASUS', 'The Simpsons', 'Fashion']","['ZARA', 'FOOTBALL TICKET', 'ELECTRONICS']","['TECH-SAVY', 'FASHION']"
A985157012397861,"['Nissan', 'Pizza Hut', 'Bruce Lee']","['PIZZA-HUT', 'Nissan', 'TATA-SKY']","['AUTOMOBILES', 'FOODIE']"
A914800633826523,"['Shrek', 'Indian Cricket Team', 'KitKat', 'Arsenal']","['FOOTBALL TICKET', 'BOOK-MY-SHOW-SPORTS', 'MUSIC CONCERT', 'SPOTIFY']","['FOOTBALL', 'CRICKET']"
A1055521384775860,"['Angry Birds', 'CGTN', 'Mathematics']","['ANDROID', 'TATA-SKY']","['NEWS', 'ANDROID-GAMES']"
A303496557700928,"['The Simpsons', 'Eminem', 'Disney']","['MUSIC CONCERT', 'DISNEY-PLUS', 'BOOKS']","['MUSIC', 'DISNEY-MOVIES']"
A985156939952550,"['Windows', 'Angry Birds', 'Cold Play']","['FOOTBALL-TICKET', 'MUSIC CONCERT', 'ELECTRONICS']","['TECH-SAVY', 'MUSIC']"
A985156141419821,"['Huawei Mobile', 'History', 'Fashion', 'Hackerrank']","['TATA-SKY', 'TELECOM', 'Hackerrank', 'BOOKS']","['HISTORY', 'TECH-SAVY', 'CODING']"
A914801119229071,"['Linkin Park', 'Anime', 'Football']","['FOOTBALL-TICKET', 'CRUNCHYROLL', 'TATA-SKY']","['ANIME', 'FOOTBALL']"
A914800123960928,"['Intel', 'TIMES OF INDIA', 'Pepsi']","['TATA-SKY', 'GROCERIES', 'ELECTRONICS']","['TECH-SAVY', 'FOODIE']"
A914801080667193,"['Shakira', 'WWE', 'Mathematics', '5-Minute Crafts']","['YOUTUBE', 'TATA-SKY', 'MUSIC CONCERT']","['YOUTUBE', 'SPORTS']"
A1055521173142680,"['IPL', 'Bruce Lee', 'Playboy']","['ELECTRONICS', 'BOOK-MY-SHOW-SPORTS', 'Playboy']","['PLAYBOY', 'CRICKET']"
A389783424597926,"['Real Madrid C.F.', 'Marvel', 'Metalica']","['FOOTBALL TICKET', 'MUSIC CONCERT', 'BOOK-MY-SHOW']","['MUSIC', 'MOVIES', 'FOOTBALL']"
A1899945832147100,"['Uber', 'BBC News', 'CGTN', 'Health and Diet']","['UBER', 'TATA-SKY', 'ELECTRONICS']","['NEWS', 'TRAVELLING']"
A914801032255945,"['Jackie Chan', 'History', 'Marvel', 'Fast & Furious']","['STARBUCKS', 'BOOK-MY-SHOW', 'BOOKS']",['MOVIES']
A914801050306477,"['KFC', 'History', 'Health and Diet', 'Bruce Lee']","['KFC', 'BOOK-MY-SHOW', 'BOOKS']","['HISTORY', 'MOVIES', 'FOODIE']"
A844427754599626,"['ASUS', 'Mathematics', 'Pepsi']","['GROCERIES', 'BOOKS', 'ELECTRONICS']","['TECH-SAVY', 'MATHEMATICS', 'FOODIE']"
A1759220758926670,"['Real Madrid C.F.', 'SONY Mobile', 'BBC News', 'Burger King', 'Football']","['ZARA', 'KFC', 'FOOTBALL-TICKET', 'FOOTBALL TICKET', 'ELECTRONICS']","['TECH-SAVY', 'FOOTBALL']"
A985156242892770,"['Shakira', 'Jackie Chan', 'Indian Cricket Team', 'Fast & Furious']","['MUSIC-CONCERT', 'BOOK-MY-SHOW', 'TATA-SKY']","['MOVIES', 'MUSIC']"
A1829582563503030,"['Anime', 'Angry Birds']","['ANDROID', 'CRUNCHYROLL']","['ANIME', 'ANDROID-GAMES']"
A985157020517378,"['History', 'TIMES OF INDIA', 'Football', 'Fashion']","['FOOTBALL-TICKET', 'ZARA', 'NEWSPAPER', 'MUSIC CONCERT']","['NEWS', 'FASHION']"
A914800679853223,"['UFC', 'Pitbull']","['TATA-SKY', 'BOOK-MY-SHOW']","['MOVIES', 'UFC']"
A914800997017148,"['NBA', 'Starbucks', 'Geography', 'Disney', 'Linkin Park']","['MUSIC CONCERT', 'DISNEY-PLUS', 'Hackerrank', 'BASKETBALL TICKET']","['SPORTS', 'DISNEY-MOVIES', 'MUSIC']"
A844427928369587,"['Uber', 'Mr Bean', 'Marvel']","['UBER', 'TATA-SKY', 'BOOK-MY-SHOW']","['TRAVELLING', 'COMEDY-SHOWS', 'MOVIES']"
A1055521091577550,"['Tesla', 'Indian Cricket Team', 'Food', 'Disney']","['TESLA', 'GROCERIES', 'BOOK-MY-SHOW-SPORTS', 'BOOK-MY-SHOW']","['FOODIE', 'AUTOMOBILES', 'CRICKET']"
A1055521382259330,"['OPPO', 'Cold Play', 'MS Dhoni']","['MUSIC CONCERT', 'BOOK-MY-SHOW', 'ELECTRONICS']","['TECH-SAVY', 'MUSIC']"
A985157090984923,"['SONY Mobile', 'Spotify', 'Science']","['GAMING', 'BOOKS', 'SPOTIFY']","['SCIENCE', 'MUSIC']"
A844427272260408,"['Bruno Mars', 'CGTN', 'Bitcoins']","['BITCOINS', 'MUSIC CONCERT', 'BOOK-MY-SHOW']","['BITCOINS', 'MUSIC']"
A1688852160734300,"['Uber', 'Wallmart', 'Geography', 'Memes']","['UBER', '9GAG', 'Hackerrank', 'WINDOWS']","['MEMES', 'TRAVELLING']"
A985157010071817,"['McDonalds', 'Red Bull', 'Marvel', 'MS Dhoni']","['TATA-SKY', 'GROCERIES', 'BOOK-MY-SHOW-SPORTS', 'BOOK-MY-SHOW']","['FOODIE', 'MOVIES', 'CRICKET']"
A1055521295259180,"['Spider man', 'TIMES OF INDIA', 'Cold Play']","['NEWSPAPER', 'MUSIC CONCERT', 'BOOK-MY-SHOW']","['NEWS', 'MUSIC', 'MOVIES']"
A1055521126415860,"['Nissan', 'Harry Potter', 'Fast & Furious', 'Wallmart', 'Angry Birds']","['Nissan', 'MUSIC CONCERT', 'BOOK-MY-SHOW', 'ANDROID', 'UBER']","['HARRY-POTTER-MOVIES', 'AUTOMOBILES', 'ANDROID-GAMES']"
A1759221331564090,"['Harry Potter', 'Taste Made', 'Disney', 'Vin Diesel', 'Playboy']","['BOOK-MY-SHOW', 'DISNEY-PLUS', 'Playboy', 'FOOTBALL TICKET', 'ELECTRONICS']","['PLAYBOY', 'MOVIES', 'DISNEY-MOVIES']"
A1899947030285440,"['Eminem', 'CS GO']","['STEAM', 'MUSIC CONCERT']","['MUSIC', 'GAMING']"
A844427984183634,"['UEFA Champions League', 'History', 'Cristiano Ronaldo', 'Spider man']","['GROCERIES', 'FOOTBALL TICKET', 'BOOKS']","['HISTORY', 'FOOTBALL']"
A308856672603016,"['Mr Bean', 'Cars', 'Angry Birds']","['ANDROID', 'AUTOMOBILE', 'GAMING']","['AUTOMOBILES', 'ANDROID-GAMES']"
A985156983593190,"['Huawei Mobile', 'KFC', 'SONY Mobile']","['KFC', 'TELECOM', 'HEALTH-KART']","['TECH-SAVY', 'FOODIE']"
A1055521383453070,"['WWE', 'Nissan', 'Candy Crush Saga', 'UFC']","['TATA-SKY', 'BOOK-MY-SHOW-SPORTS']","['SPORTS', 'UFC']"
A985156986346818,"['Play Station', 'Eminem', 'Pepsi', 'Health and Diet']","['TELECOM', 'MUSIC CONCERT', 'GAMING', 'BOOK-MY-SHOW']","['MUSIC', 'GAMING']"
A914801114723304,"['ASUS', 'Uber']","['UBER', 'ELECTRONICS']","['TECH-SAVY', 'TRAVELLING']"
A844427577995699,"['The Simpsons', 'Pizza Hut', 'Indian Cricket Team']","['NETFLIX', 'BOOK-MY-SHOW-SPORTS', 'AMAZON-PRIME']","['CRICKET', 'TV-SHOWS']"
A914801073589300,"['Memes', 'Geography', 'Football']","['ELECTRONICS', 'FOOTBALL-TICKET', 'BOOKS']","['FOOTBALL', 'GEOGRAPHY']"
A914801126575122,"['Jackie Chan', 'SONY Mobile', 'Intel', 'Bitcoins']","['MUSIC CONCERT', 'BOOK-MY-SHOW', 'ELECTRONICS']","['TECH-SAVY', 'MOVIES']"
A914801075460599,"['Indian Cricket Team', 'Football']","['FOOTBALL-TICKET', 'BOOK-MY-SHOW-SPORTS']","['FOOTBALL', 'CRICKET']"
A844428105399167,"['Pizza Hut', 'OPPO', 'Pepsi']","['PIZZA-HUT', 'GROCERIES', 'ELECTRONICS']","['TECH-SAVY', 'FOODIE']"
A1899946187214690,"['CGTN', 'Fashion']","['TATA-SKY', 'ZARA']","['NEWS', 'FASHION']"
A985156140532729,"['50 Cent', 'Pitbull']","['MUSIC CONCERT', 'BOOK-MY-SHOW']","['MOVIES', 'MUSIC']"
A985156627539464,"['Wallmart', 'Mr Bean', 'Vin Diesel']","['WALMART', 'TATA-SKY', 'BOOK-MY-SHOW']","['COMEDY-SHOWS', 'SHOPPING', 'MOVIES']"
A1899946120225740,"['Spider man', 'CodeChef', 'Indian Cricket Team', 'Disney', 'TIMES OF INDIA']","['BOOK-MY-SHOW', 'WALMART', 'NEWSPAPER', 'DISNEY-PLUS', 'TATA-SKY']","['NEWS', 'MOVIES', 'DISNEY-MOVIES']"
A1055521414115840,"['Angry Birds', 'Starbucks', 'Manchester City', 'CS GO', 'Health and Diet']","['STARBUCKS', 'STEAM', 'GROCERIES', 'FOOTBALL-TICKET', 'Hackerrank']","['STARBUCKS', 'FOOTBALL', 'GAMING']"
A914800529474224,"['Michael Jackson', 'Real Madrid C.F.', 'Angry Birds', 'Candy Crush Saga']","['ANDROID', 'MUSIC CONCERT', 'UBER']","['ANDROID-GAMES', 'MUSIC']"
A844427995164544,"['Play Station', 'Pizza Hut', 'Manchester City']","['PIZZA-HUT', 'FOOTBALL-TICKET', 'GAMING']","['FOOTBALL', 'GAMING', 'FOODIE']"
A985156406787328,"['Candy Crush Saga', 'XBOX', 'Starbucks']","['STARBUCKS', 'ANDROID', 'ELECTRONICS']","['STARBUCKS', 'ANDROID-GAMES', 'GAMING']"
A985156157841074,"['Health and Diet', 'Disney']","['HEALTH-KART', 'DISNEY-PLUS']","['HEALTH-CONCIOUS', 'DISNEY-MOVIES']"
A1759221002606810,"['Huawei Mobile', 'ASUS']","['TELECOM', 'ELECTRONICS']",['TECH-SAVY']
